appid,name,release_date,is_free,type,genres,price_overview
822470,属性与生活,"25 Sep, 2018",False,game,"[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]","{'currency': 'KRW', 'initial': 110000, 'final': 110000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 1,100'}"
822510,Struggle For Survival VR : Battle Royale,"24 Apr, 2018",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '28', 'description': 'Simulation'}]","{'currency': 'KRW', 'initial': 2050000, 'final': 2050000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 20,500'}"
822530,Pukan Bye Bye,"27 Mar, 2018",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 2050000, 'final': 2050000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 20,500'}"
822540,Escape From Tethys,"12 Jul, 2018",False,game,"[{'id': '1', 'description': 'Action'}]","{'currency': 'KRW', 'initial': 550000, 'final': 550000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 5,500'}"
822550,2DGameManias Taken,"4 May, 2018",True,game,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]",
822610,Patternis,"30 Aug, 2018",True,game,"[{'id': '23', 'description': 'Indie'}]",
822640,Squids Odyssey,"5 Sep, 2018",False,game,"[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]","{'currency': 'KRW', 'initial': 1650000, 'final': 1650000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 16,500'}"
822650,Typical Nightmare,"21 Aug, 2018",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}]","{'currency': 'KRW', 'initial': 1100000, 'final': 1100000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 11,000'}"
822660,Abacus,"5 Jul, 2021",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 650000, 'final': 650000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 6,500'}"
822680,Eternal Man: Jump,"26 Apr, 2018",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 110000, 'final': 110000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 1,100'}"
822700,Beer and Skittls VR,"29 Mar, 2018",True,game,"[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}, {'id': '18', 'description': 'Sports'}, {'id': '2', 'description': 'Strategy'}]",
822710,Clash: Mutants Vs Pirates,"2 May, 2024",True,game,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '2', 'description': 'Strategy'}, {'id': '37', 'description': 'Free To Play'}]",
822720,The Amazing Bernard,"11 Apr, 2018",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 550000, 'final': 550000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 5,500'}"
822740,FlappyU VR,"18 Apr, 2018",False,game,"[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}]","{'currency': 'KRW', 'initial': 220000, 'final': 220000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 2,200'}"
822750,Try to seize me,"17 Apr, 2018",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 220000, 'final': 220000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 2,200'}"
822760,Fureraba ~Friend to Lover~,"4 May, 2018",False,game,"[{'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '28', 'description': 'Simulation'}]","{'currency': 'KRW', 'initial': 3200000, 'final': 3200000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 32,000'}"
822800,Soulfire,"3 Aug, 2020",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 750000, 'final': 750000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 7,500'}"
822810,Velvet Guard,"30 Mar, 2018",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 560000, 'final': 560000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 5,600'}"
821920,OAOA - Off And On Again,"28 May, 2021",False,game,"[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 560000, 'final': 560000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 5,600'}"
822030,Dark Drive,Coming soon,False,game,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]",
822040,Super Volley Blast,"1 Nov, 2018",False,game,"[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '18', 'description': 'Sports'}]","{'currency': 'KRW', 'initial': 1250000, 'final': 1250000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 12,500'}"
822070,SAS VS Zombies,"23 Mar, 2018",False,game,"[{'id': '73', 'description': 'Violent'}, {'id': '74', 'description': 'Gore'}, {'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 110000, 'final': 110000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 1,100'}"
822110,Magika Land of Fantasy,"5 Apr, 2018",True,game,"[{'id': '25', 'description': 'Adventure'}, {'id': '37', 'description': 'Free To Play'}, {'id': '23', 'description': 'Indie'}, {'id': '70', 'description': 'Early Access'}]",
822130,Flynn and Freckles,"7 Sep, 2018",False,game,"[{'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 1050000, 'final': 1050000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 10,500'}"
822140,Glaive: Brick Breaker,"26 Apr, 2018",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'EUR', 'initial': 499, 'final': 499, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '4,99€'}"
822150,WAY HOME,"6 Apr, 2018",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]","{'currency': 'EUR', 'initial': 399, 'final': 399, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '3,99€'}"
822190,Little Bug,"25 Sep, 2018",False,game,"[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'EUR', 'initial': 399, 'final': 399, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '3,99€'}"
822250,GL1TCH,"28 Mar, 2018",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '2', 'description': 'Strategy'}]","{'currency': 'EUR', 'initial': 79, 'final': 79, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '0,79€'}"
822270,Clash of Magic: Spectator Only,Coming soon,True,game,"[{'id': '2', 'description': 'Strategy'}]",
822310,Bones 'n' Bullets,Coming soon,False,game,"[{'id': '1', 'description': 'Action'}]",
821430,Unknown Scrolls,Coming soon,False,game,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}]",
821440,GunnRunner,"17 Mar, 2023",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'EUR', 'initial': 499, 'final': 499, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '4,99€'}"
821480,Space Flowers,"6 Apr, 2018",False,game,"[{'id': '2', 'description': 'Strategy'}]","{'currency': 'EUR', 'initial': 79, 'final': 79, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '0,79€'}"
821490,BattleCourt,"22 Dec, 2020",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'EUR', 'initial': 79, 'final': 79, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '0,79€'}"
821500,Ria's Hook,"4 Apr, 2018",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'EUR', 'initial': 299, 'final': 299, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '2,99€'}"
821520,Trivia Vault: Boxing Trivia,"24 Mar, 2018",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]","{'currency': 'EUR', 'initial': 1379, 'final': 1379, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '13,79€'}"
